yarn outdated v1.22.22
info Color legend : 
 "<red>"    : Major Update backward-incompatible updates 
 "<yellow>" : Minor Update backward-compatible features 
got                              11.8.6                                11.8.6                                14.2.1       gatsby-source-npm-package-search   dependencies           https://github.com/sindresorhus/got#readme                                
got                              13.0.0                                13.0.0                                14.2.1       gatsby-source-wordpress            dependencies           https://github.com/sindresorhus/got#readme                                
got                              11.8.6                                11.8.6                                14.2.1       gatsby                             dependencies           https://github.com/sindresorhus/got#readme                                
hasha                            5.2.2                                 5.2.2                                 6.0.0        gatsby                             dependencies           https://github.com/sindresorhus/hasha#readme                              
hast-util-raw                    6.1.0                                 6.1.0                                 9.0.2        gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/hast-util-raw#readme                       
hast-util-to-html                7.1.3                                 7.1.3                                 9.0.0        gatsby-remark-graphviz             devDependencies        https://github.com/syntax-tree/hast-util-to-html#readme                   
hast-util-to-html                7.1.3                                 7.1.3                                 9.0.0        gatsby-remark-images               devDependencies        https://github.com/syntax-tree/hast-util-to-html#readme                   
hast-util-to-html                7.1.3                                 7.1.3                                 9.0.0        gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/hast-util-to-html#readme                   
idb-keyval                       3.2.0                                 3.2.0                                 6.2.1        gatsby-plugin-offline              dependencies           https://github.com/jakearchibald/idb-keyval#readme                        
immer                            9.0.21                                9.0.21                                10.0.4       gatsby-source-wordpress            dependencies           https://github.com/immerjs/immer#readme                                   
is-relative-url                  3.0.0                                 3.0.0                                 4.0.0        gatsby-remark-copy-linked-files    dependencies           https://github.com/sindresorhus/is-relative-url#readme                    
is-relative-url                  3.0.0                                 3.0.0                                 4.0.0        gatsby-remark-images-contentful    dependencies           https://github.com/sindresorhus/is-relative-url#readme                    
is-relative-url                  3.0.0                                 3.0.0                                 4.0.0        gatsby-remark-images               dependencies           https://github.com/sindresorhus/is-relative-url#readme                    
joi                              14.3.1                                14.3.1                                17.12.2                                         devDependencies        https://github.com/hapijs/joi#readme                                      
js-yaml                          3.14.1                                3.14.1                                4.1.0                                           devDependencies        https://github.com/nodeca/js-yaml#readme                                  
latest-version                   7.0.0                                 7.0.0                                 9.0.0        gatsby                             dependencies           https://github.com/sindresorhus/latest-version#readme                     
lerna                            6.6.2                                 6.6.2                                 8.1.2                                           devDependencies        https://lerna.js.org                                                      
less-loader                      6.2.0                                 6.2.0                                 12.2.0       gatsby-plugin-less                 dependencies           https://github.com/webpack-contrib/less-loader                            
libnpmpublish                    7.5.2                                 7.5.2                                 9.0.4                                           resolutionDependencies https://npmjs.com/package/libnpmpublish                                   
lmdb                             2.9.4                                 2.9.4                                 3.0.0        gatsby-core-utils                  dependencies           https://github.com/kriszyp/lmdb-js#readme                                 
lmdb                             2.9.4                                 2.9.4                                 3.0.0        gatsby                             dependencies           https://github.com/kriszyp/lmdb-js#readme                                 
mdast-util-definitions           4.0.0                                 4.0.0                                 6.0.0        gatsby-remark-images               dependencies           https://github.com/syntax-tree/mdast-util-definitions#readme              
mdast-util-mdx                   2.0.1                                 2.0.1                                 3.0.0        gatsby-plugin-mdx                  dependencies           https://github.com/syntax-tree/mdast-util-mdx#readme                      
mdast-util-to-hast               10.2.0                                10.2.0                                13.1.0       gatsby-plugin-mdx                  dependencies           https://github.com/syntax-tree/mdast-util-to-hast#readme                  
mdast-util-to-hast               10.2.0                                10.2.0                                13.1.0       gatsby-remark-graphviz             devDependencies        https://github.com/syntax-tree/mdast-util-to-hast#readme                  
mdast-util-to-hast               10.2.0                                10.2.0                                13.1.0       gatsby-remark-images               devDependencies        https://github.com/syntax-tree/mdast-util-to-hast#readme                  
mdast-util-to-hast               10.2.0                                10.2.0                                13.1.0       gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/mdast-util-to-hast#readme                  
mdast-util-to-markdown           1.5.0                                 1.5.0                                 2.1.0        gatsby-plugin-mdx                  dependencies           https://github.com/syntax-tree/mdast-util-to-markdown#readme              
mdast-util-to-string             2.0.0                                 2.0.0                                 4.0.0        gatsby-remark-autolink-headers     dependencies           https://github.com/syntax-tree/mdast-util-to-string#readme                
mdast-util-to-string             2.0.0                                 2.0.0                                 4.0.0        gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/mdast-util-to-string#readme                
mdast-util-toc                   6.1.1                                 6.1.1                                 7.0.0        gatsby-plugin-mdx                  dependencies           https://github.com/syntax-tree/mdast-util-toc#readme                      
mdast-util-toc                   5.1.0                                 5.1.0                                 7.0.0        gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/mdast-util-toc#readme                      
mime                             3.0.0                                 3.0.0                                 4.0.1        gatsby-plugin-utils                dependencies           https://github.com/broofa/mime#readme                                     
mime                             3.0.0                                 3.0.0                                 4.0.1        gatsby-source-filesystem           dependencies           https://github.com/broofa/mime#readme                                     
mime                             3.0.0                                 3.0.0                                 4.0.1        gatsby                             dependencies           https://github.com/broofa/mime#readme                                     
mini-css-extract-plugin          1.6.2                                 1.6.2                                 2.8.1        gatsby                             dependencies           https://github.com/webpack-contrib/mini-css-extract-plugin                
minimatch                        6.2.0                                 6.2.0                                 9.0.3        gatsby-plugin-google-analytics     dependencies           https://github.com/isaacs/minimatch#readme                                
minimatch                        6.2.0                                 6.2.0                                 9.0.3        gatsby-plugin-google-gtag          dependencies           https://github.com/isaacs/minimatch#readme                                
minimatch                        6.2.0                                 6.2.0                                 9.0.3        gatsby-plugin-sitemap              dependencies           https://github.com/isaacs/minimatch#readme                                
mongodb                          3.7.4                                 3.7.4                                 6.5.0        gatsby-source-mongodb              dependencies           https://github.com/mongodb/node-mongodb-native                            
msw                              1.3.3                                 1.3.3                                 2.2.9        gatsby-core-utils                  devDependencies        https://mswjs.io                                                          
msw                              1.3.3                                 1.3.3                                 2.2.9        gatsby-plugin-gatsby-cloud         devDependencies        https://mswjs.io                                                          
msw                              1.3.3                                 1.3.3                                 2.2.9        gatsby-plugin-utils                devDependencies        https://mswjs.io                                                          
msw                              1.3.3                                 1.3.3                                 2.2.9        gatsby-source-shopify              devDependencies        https://mswjs.io                                                          
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        create-gatsby                      devDependencies        https://github.com/node-fetch/node-fetch                                  
node-fetch                       2.7.0                                 2.7.0                                 3.3.2        gatsby-cli                         dependencies           https://github.com/node-fetch/node-fetch                                  
